ca,code,credits,ese,l,mse,name,p,semester,t,total,type
20,24AF1000BS201,3.0,60,3,20,Engineering Mathematics – II,0,2,0,100,BSC
20,24AF1PHYBS202,3.0,60,3,20,Engineering Physics,0,2,0,100,BSC
60,24AF1PHYBSL203,1.0,40,0,,Engineering Physics Lab,2,2,0,100,BSC
20,24AF1EGES204,2.0,60,2,20,Engineering Graphics,0,2,0,100,ESC
60,24AF1EGESL205,1.0,40,0,,Engineering Graphics Lab,2,2,0,100,ESC
20,24AF1000ES206A,3.0,60,3,20,Basic Electrical and Electronics Engineering,0,2,0,100,ESC
60,24AF1000ESL207A,1.0,40,0,,Basic Electrical and Electronics Engineering Lab,2,2,0,100,ESC
20,24AF1000ES208,3.0,60,3,20,Basic Civil and Mechanical Engineering,0,2,0,100,ESC
50,24AF1EEEES209,,,2,,Energy and Environmental Engineering,0,2,0,50,BSC
60,24AF1000IKS210,2.0,40,2,,IKS Bucket #,0,2,0,100,IKS
60,24AF1000VS211,2.0,40,2,,Design Thinking,0,2,0,100,VSEC
60,24AF1000CC212A,2.0,40,1,,A. Integrated Personality Development,2,2,0,100,CC
60,24AF1000CC212B,,40,1,,B. NSS-II,2,2,0,100,CC
60,24AF1000CC212C,,40,1,,C. Health and Wellness,2,2,0,100,CC
