ca,code,credits,ese,l,mse,name,p,semester,t,total,type
,24AF1000ESL107A,1.0,,,,Programming for Problem Solving Lab,,1,,,Practical Lab
,24AF1000CC111A,2.0,,,,A. Yoga Education,,1,,,Theory
,24AF1000BS101,3.0,,,,Engineering Mathematics – I,,1,,,Theory
,24AF1EMESL105,1.0,,,,Engineering Mechanics Lab,,1,,,Practical Lab
,24AF1000VSL108,2.0,,,,Workshop Practices,,1,,,Practical
,24AF1000CC111B,,,,,B. NSS-I,,1,,,Theory
,24AF1CHEBS102,3.0,,,,Engineering Chemistry,,1,,,Theory
,24AF1CHEBSL103,1.0,,,,Engineering Chemistry Lab,,1,,,Practical Lab
,24AF1000VSL110,1.0,,,,Communication Skills Lab,,1,,,Practical Lab
,24AF1EMES104,3.0,,,,Engineering Mechanics,,1,,,Theory
,24AF1000ES106A,2.0,,,,Programming for Problem Solving,,1,,,Theory
,24AF1000VS109,2.0,,,,Communication Skills,,1,,,Theory
,24AF1000CC111C,,,,,C. NCC,,1,,,Theory
20,24AF1000BS201,3.0,60,3,20,Engineering Mathematics – II,0,2,0,100,BSC
20,24AF1PHYBS202,3.0,60,3,20,Engineering Physics,0,2,0,100,BSC
60,24AF1PHYBSL203,1.0,40,0,,Engineering Physics Lab,2,2,0,100,BSC
20,24AF1EGES204,2.0,60,2,20,Engineering Graphics,0,2,0,100,ESC
60,24AF1EGESL205,1.0,40,0,,Engineering Graphics Lab,2,2,0,100,ESC
20,24AF1000ES206A,3.0,60,3,20,Basic Electrical and Electronics Engineering,0,2,0,100,ESC
60,24AF1000ESL207A,1.0,40,0,,Basic Electrical and Electronics Engineering Lab,2,2,0,100,ESC
20,24AF1000ES208,3.0,60,3,20,Basic Civil and Mechanical Engineering,0,2,0,100,ESC
50,24AF1EEEES209,,,2,,Energy and Environmental Engineering,0,2,0,50,BSC
60,24AF1000IKS210,2.0,40,2,,IKS Bucket #,0,2,0,100,IKS
60,24AF1000VS211,2.0,40,2,,Design Thinking,0,2,0,100,VSEC
60,24AF1000CC212A,2.0,40,1,,A. Integrated Personality Development,2,2,0,100,CC
60,24AF1000CC212B,,40,1,,B. NSS-II,2,2,0,100,CC
60,24AF1000CC212C,,40,1,,C. Health and Wellness,2,2,0,100,CC
,24AF1PHYBS102,3.0,,,,Engineering Physics,,1,,,Theory
,24AF1PHYBSL103,1.0,,,,Engineering Physics Lab,,1,,,Practical Lab
,24AF1EGES104,2.0,,,,Engineering Graphics,,1,,,Theory
,24AF1EGESL105,1.0,,,,Engineering Graphics Lab,,1,,,Practical Lab
,24AF1000ES106B,3.0,,,,Basic Electrical and Electronics Engineering,,1,,,Theory
,24AF1000ESL107B,1.0,,,,Basic Electrical and Electronics Engineering Lab,,1,,,Practical Lab
,24AF1000ES108,3.0,,,,Basic Civil and Mechanical Engineering,,1,,,Theory
,24AF1EEEES109,,,,,Energy and Environmental Engineering,,1,,,Theory
,24AF1000IKS110,2.0,,,,IKS Bucket #,,1,,,Theory
,24AF1000VS111,2.0,,,,Design Thinking,,1,,,Theory
,24AF1000CC112A,2.0,,,,A. Integrated Personality Development,,1,,,Theory
,24AF1000CC112B,,,,,B. NSS-II,,1,,,Theory
,24AF1000CC112C,,,,,C. Health and Wellness,,1,,,Theory
